Year;Host;Champion(titles);WinningCoach;TopScorer(goals);MostValuablePlayer
1957;Sudan;Egypt  (1);Mourad Fahmy;Ad-Diba  (5);El Gohary
1959;Egypt;Egypt  (2);Pál Titkos;Mahmoud El Gohary  (3);El Deeba
1962;Ethiopia;Ethiopia  (1);Ydnekatchew Tessema;Mengistu Worku  (3)  Badawi Abdel Fattah  (3);Mengistu Worku
1963;Ghana;Ghana  (1);Charles Gyamfi;Hassan El Shazly  (6);Hassan El Shazly
1965;Tunisia;Ghana  (2);Charles Gyamfi;Ben Acheampong  (3)  Osei Kofi  (3)  Eustache Manglé  (3);Osei Kofi
1968;Ethiopia;Congo-Kinshasa  (1);Ferenc Csanádi;Laurent Pokou  (6);Kazadi Mwamba
1970;Sudan;Sudan  (1);Jiří Starosta;Laurent Pokou  (8);Laurent Pokou
1972;Cameroon;Congo  (1);Adolphe Bibanzoulou;Salif Keita  (5);François M'Pelé
1974;Egypt;Zaire  (2);Blagoje Vidinić;Ndaye Mulamba  (9);Mohamed Timoumi
1976;Ethiopia;Morocco  (1);Gheorghe Mărdărescu;Aliou Mamadou Keita  (4);Ahmed Faras
1978;Ghana;Ghana  (3);Fred Osam-Duodu;Phillip Omondi  (3)  Opoku Afriyie  (3)  Segun Odegbami  (3);Karim Abdul Razak
1980;Nigeria;Nigeria  (1);Otto Glória;Khaled Labied  (3)  Segun Odegbami  (3);Christian Chukwu
1982;Libya;Ghana  (4);Charles Gyamfi;George Alhassan  (4);Fawzi Al-Issawi
1984;Ivory Coast;Cameroon  (1);Radivoje Ognjanović;Taher Abouzaid  (4);Théophile Abega
1986;Egypt;Egypt  (3);Mike Smith;Roger Milla  (4);Roger Milla
1988;Morocco;Cameroon  (2);Claude Le Roy;Lakhdar Belloumi  (2)  Roger Milla  (2)  Abdoulaye Traoré  (2)  Gamal Abdelhamid  (2);Aziz Bouderbala
1990;Algeria;Algeria  (1);Abdelhamid Kermali;Djamel Menad  (4);Rabah Madjer
1992;Senegal;Ivory Coast  (1);Yeo Martial;Rashidi Yekini  (4);Abedi Pele
1994;Tunisia;Nigeria  (2);Clemens Westerhof;Rashidi Yekini  (5);Rashidi Yekini
1996;South Africa;South Africa  (1);Clive Barker;Kalusha Bwalya  (5);Kalusha Bwalya
1998;Burkina Faso;Egypt  (4);Mahmoud El-Gohary;Hossam Hassan  (7)  Benni McCarthy  (7);Benni McCarthy
2000;Ghana  Nigeria;Cameroon  (3);Pierre Lechantre;Shaun Bartlett  (5);Lauren
2002;Mali;Cameroon  (4);Winfried Schäfer;Patrick Mboma  (3)  René Salomon Olembé  (3)  Julius Aghahowa  (3);Rigobert Song
2004;Tunisia;Tunisia  (1);Roger Lemerre;Patrick Mboma  (4)  Frédéric Kanouté  (4)  Youssef Mokhtari  (4)  Jay-Jay Okocha  (4)  Francileudo dos Santos  (4);Jay-Jay Okocha
2006;Egypt;Egypt  (5);Hassan Shehata;Samuel Eto'o  (5);Ahmed Hassan
2008;Ghana;Egypt  (6);Hassan Shehata;Samuel Eto'o  (5);Hosny Abd Rabo
2010;Angola;Egypt  (7);Hassan Shehata;Mohamed Nagy  (5);Ahmed Hassan
2012;Gabon  Equatorial Guinea;Zambia  (1);Hervé Renard;Manucho  (3)  Didier Drogba  (3)  Pierre-Emerick Aubameyang  (3)  Cheick Diabaté  (3)  Houssine Kharja  (3)  Christopher Katongo  (3)  Emmanuel Mayuka  (3);Christopher Katongo
2013;South Africa;Nigeria  (3);Stephen Keshi;Mubarak Wakaso  (4)  Emmanuel Emenike  (4);Jonathan Pitroipa
2015;Equatorial Guinea;Ivory Coast  (2);Hervé Renard;Thievy Bifouma  (3)  Dieumerci Mbokani  (3)  Javier Balboa  (3)  André Ayew  (3)  Ahmed Akaïchi  (3);Christian Atsu
2017;Gabon;Cameroon  (5);Hugo Broos;Junior Kabananga  (3);Christian Bassogog
2019;Egypt;Algeria  (2);Djamel Belmadi;Odion Ighalo  (5);Ismael Bennacer
2021;Cameroon;Senegal (1);Aliou Cissé;Vincent Aboubakar (8);Sadio Mané
